Name,Age,Position,Player Nationality,Market Value,Left,Joined,Fee
Jordan Lawrence-Gabriel,26,Right-Back,England,7.0,Blackpool,Without Club,
Ricky-Jade Jones,22,Centre-Forward,England,8.0,Peterborough,Without Club,
Kwame Poku,23,Right Winger,Ghana,1.5,Peterborough,Without Club,
Rémy Cabella,35,Attacking Midfield,France,3.0,LOSC Lille,Without Club,
Hector Kyprianou,23,Defensive Midfield,Cyprus,6.0,Peterborough,Without Club,
Ayoub El Amloud,31,Right-Back,Morocco,1.0,Persepolis,Without Club,
Sebastian Grönning,28,Centre-Forward,Denmark,7.0,FC Ingolstadt,Hertha BSC,
Mahir Emreli,27,Centre-Forward,Azerbaijan,8.0,1.FC Nuremberg,Without Club,
Manuel Gulde,34,Centre-Back,Germany,8.0,SC Freiburg,Retired,
Michael Rose,29,Centre-Back,Scotland,5.0,Stoke City,Without Club,
Lynden Gooch,29,Right Winger,United States,1.2,Stoke City,Without Club,
Jordan Thompson,28,Central Midfield,Northern Ireland,9.0,Stoke City,Without Club,
Scott High,24,Central Midfield,Scotland,5.0,Huddersfield,Without Club,
Josh Koroma,26,Left Winger,Sierra Leone,1.2,Huddersfield,Without Club,
Matty Pearson,31,Centre-Back,England,8.0,Huddersfield,Without Club,
Nehuén Pérez,24,Centre-Back,Argentina,13.0,Udinese,FC Porto,13.3
Mohamed Sherif,29,Centre-Forward,Egypt,1.0,Al-Khaleej,Without Club,
Nick Bätzner,25,Attacking Midfield,Germany,7.0,Wehen Wiesbaden,Without Club,
Zeidane Inoussa,22,Left Winger,Sweden,3.0,Häcken,Swansea,6.0
Trent Alexander-Arnold,26,Right-Back,England,75.0,Liverpool,Without Club,
Kristian Pedersen,30,Left-Back,Denmark,8.0,Swansea,Without Club,
Bradley de Nooijer,27,Left-Back,Netherlands,5.0,FC Buzău,Without Club,
Simon Janssen,24,Left-Back,Netherlands,5.0,VVV-Venlo,Without Club,
Alexander Lyng,20,Left Winger,Denmark,5.5,Servette FC,Sönderjyske,
Denny Gropper,26,Left-Back,Israel,5.0,Ludogorets,Without Club,
Martín Satriano,24,Centre-Forward,Uruguay,5.0,Inter,Lens,5.0
Eric Dier,31,Centre-Back,England,8.0,Bayern Munich,Without Club,
Benjamín Rojas,24,Right-Back,Chile,7.0,Pogon Szczecin,Without Club,
Sem Steijn,23,Attacking Midfield,Netherlands,16.0,Twente FC,Feyenoord,10.0
Ibrahim Maza,19,Attacking Midfield,Algeria,12.0,Hertha BSC,B. Leverkusen,12.0
Fallou Fall,21,Centre-Back,Senegal,1.5,Stade Reims,Fredrikstad,5.0
Przemyslaw Frankowski,30,Right-Back,Poland,8.0,Lens,Galatasaray,7.0
Tristan van Gilst,22,Left Winger,Netherlands,6.5,De Graafschap,Heracles Almelo,
Bennit Bröger,18,Attacking Midfield,Germany,5.0,Wolfsburg U19,Without Club,
Bartosz Bialek,23,Centre-Forward,Poland,8.0,VfL Wolfsburg,Without Club,
Kevin Behrens,34,Centre-Forward,Germany,1.5,VfL Wolfsburg,Without Club,
Onel Hernández,32,Left Winger,Cuba,7.0,Norwich,Without Club,
Angus Gunn,29,Goalkeeper,Scotland,2.5,Norwich,Without Club,
Jacob Lungi Sørensen,27,Defensive Midfield,Denmark,1.0,Norwich,Without Club,
Biro,21,Right Winger,Brazil,3.0,Corinthians,Sharjah FC,2.19
Erick Nunes,21,Right Midfield,Brazil,1.0,Fluminense U20,Cercle Brugge,5.0
Tobias Hedl,22,Centre-Forward,Austria,5.0,Rapid Wien II,Zulte Waregem,
Marvin Obuz,23,Right Winger,Germany,5.0,1.FC Köln,Without Club,
Rafael Pinto Pedrosa,17,Right-Back,Germany,1.0,Karlsruhe U19,Karlsruher SC,
Saïd Benrahma,29,Left Winger,Algeria,15.0,Olympique Lyon,NEOM SC,12.0
Simon Becher,25,Centre-Forward,United States,1.2,AC Horsens,St. Louis CITY,2.2
Kyliane Dong,20,Right Winger,France,6.0,Troyes,FC Augsburg,
Jamie Vardy,38,Centre-Forward,England,1.0,Leicester,Without Club,
Marcus Pedersen,24,Right Midfield,Norway,3.5,Feyenoord,Torino,3.5
Oliver Burke,28,Centre-Forward,Scotland,1.8,Werder Bremen,Without Club,
Mihajlo Cvetkovic,18,Centre-Forward,Serbia,6.0,Cukaricki,RSC Anderlecht,3.2
Mouhamed Belkheir,26,Centre-Forward,Algeria,9.0,Fortuna Sittard,La Louvière,
Lukas Schleimer,25,Centre-Forward,Germany,6.0,1.FC Nuremberg,Without Club,
Simone Mazzocchi,26,Centre-Forward,Italy,5.0,Atalanta U23,Cosenza,3.0
Lazar Samardžić,23,Central Midfield,Serbia,20.0,Udinese,Atalanta BC,14.8
Marco Brescianini,25,Central Midfield,Italy,8.0,Frosinone,Atalanta BC,10.0
Brian Kaltak,31,Centre-Back,Vanuatu,5.0,Central Coast,Without Club,
Arkadiusz Pyrka,22,Right-Back,Poland,2.0,Piast Gliwice,Without Club,
Marcus Edwards,26,Right Winger,England,15.0,Sporting CP,Burnley,10.0
Aleksandr Ektov,29,Right-Back,Russia,8.0,Krasnodar,Pari NN,4.0
Jonathan Tah,29,Centre-Back,Germany,30.0,B. Leverkusen,Without Club,
Kevin Volland,32,Centre-Forward,Germany,1.8,Union Berlin,1860 Munich,
Gustavo Puerta,21,Central Midfield,Colombia,3.5,B. Leverkusen,Hull City,3.5
Luka Reischl,21,Attacking Midfield,Austria,5.5,RB Salzburg,ADO Den Haag,
Lenn De Smet,21,Left Winger,Belgium,5.0,Club NXT,Without Club,
Liam De Smet,21,Central Midfield,Belgium,5.0,Club NXT,Without Club,
Rasmus Kristensen,27,Right-Back,Denmark,10.0,Leeds,E. Frankfurt,6.0
Ilay Camara,22,Left Midfield,Senegal,4.0,RWDM,Standard Liège,1.8
Maurice Neubauer,29,Left-Back,Germany,9.0,SV Elversberg,Hannover 96,
Yoann Cathline,22,Left Winger,France,6.0,FC Lorient,FC Utrecht,2.8
Miguel Rodríguez,22,Right Winger,Spain,2.0,Celta de Vigo,FC Utrecht,1.25
Tarik Muharemovic,22,Centre-Back,Bosnia-Herzegovina,6.0,Juve Next Gen,Sassuolo,3.0
Jin-ho Jo,21,Central Midfield,"Korea, South",6.0,Fenerbahce,Without Club,
Diego León,18,Left-Back,Paraguay,4.0,Cerro Porteño,Man Utd,
Christian Borchgrevink,25,Right-Back,Norway,5.0,Vålerenga,Heart of Midl.,
Rhodri Smith,18,Left-Back,Switzerland,5.0,BSC YB U21,BSC Young Boys,
Walter Benítez,32,Goalkeeper,Argentina,10.0,PSV Eindhoven,Without Club,
Agustín Palavecino,28,Central Midfield,Argentina,4.0,River Plate,Necaxa,2.56
Bilal Ould-Chikh,27,Right Winger,Morocco,6.5,FC Volendam,Without Club,
Ezechiel Banzuzi,20,Central Midfield,Netherlands,10.0,OH Leuven,RB Leipzig,16.0
Louis Patris,23,Right-Back,Belgium,2.0,RSC Anderlecht,Sint-Truiden,1.75
Timo Becker,28,Centre-Back,Germany,2.0,Holstein Kiel,FC Schalke 04,
Thomas Müller,35,Second Striker,Germany,6.0,Bayern Munich,Without Club,
Mats Hummels,36,Centre-Back,Germany,2.5,AS Roma,Retired,
Rick Karsdorp,30,Right-Back,Netherlands,4.0,PSV Eindhoven,Without Club,
Olivier Boscagli,27,Centre-Back,France,23.0,PSV Eindhoven,Without Club,
Kevin De Bruyne,33,Attacking Midfield,Belgium,27.0,Man City,Without Club,
Tom Watson,19,Left Winger,England,5.0,Sunderland,Brighton,12.0
Jurgen Mattheij,32,Centre-Back,Netherlands,6.0,Excelsior,Without Club,
Alisson Santos,22,Right Winger,Brazil,1.5,EC Vitória,Sporting CP,2.1
Giorgi Kochorashvili,25,Defensive Midfield,Georgia,4.0,Levante,Sporting CP,5.5
Ché Nunnely,26,Right Winger,Suriname,6.5,Heerenveen,Without Club,
Zizo,29,Right Winger,Egypt,4.0,Zamalek,Without Club,
Drilon Hazrollaj,21,Right Winger,Kosovo,8.0,FC Malisheva,FC Rapid,9.0
Donny Warmerdam,23,Defensive Midfield,Netherlands,6.0,De Graafschap,Without Club,
Léo Realpe,24,Centre-Back,Ecuador,1.0,RB Bragantino,Famalicão,
Dennis Eckert Ayensa,28,Centre-Forward,Germany,2.5,Union SG,Standard Liège,1.0
Mathias Olesen,24,Central Midfield,Luxembourg,1.0,1.FC Köln,Without Club,
Jan Vertonghen,38,Centre-Back,Belgium,1.0,RSC Anderlecht,Retired,
Davy van den Berg,25,Central Midfield,Netherlands,2.0,PEC Zwolle,Without Club,
Augusto Batalla,29,Goalkeeper,Argentina,6.0,River Plate,Rayo Vallecano,1.6
Dário Essugo,20,Defensive Midfield,Portugal,15.0,Sporting CP,Chelsea,22.27
Daam Foulon,26,Left-Back,Belgium,3.0,KV Mechelen,Royal Antwerp,
Luka Gugeshashvili,26,Goalkeeper,Georgia,7.0,Panserraikos,PAOK Salonika,1.0
Manolo Portanova,24,Central Midfield,Italy,5.0,Genoa,Reggiana,
Fisayo Dele-Bashiru,24,Attacking Midfield,Nigeria,8.0,Hatayspor,Lazio,3.43
Anthony Jung,33,Centre-Back,Germany,1.0,Werder Bremen,Without Club,
Milos Veljkovic,29,Centre-Back,Serbia,3.0,Werder Bremen,Red Star,
Nicolás López,31,Centre-Forward,Uruguay,2.0,León,Nacional,
Lewis Holtby,34,Central Midfield,Germany,5.0,Holstein Kiel,Without Club,
Franz Roggow,22,Central Midfield,Germany,7.0,B. Dortmund II,Hannover 96,
Mohamed Al-Thani,28,Right Winger,Saudi Arabia,7.0,Al-Shabab,Al-Qadsiah,2.53
Yan Couto,22,Right-Back,Brazil,20.0,Man City,Bor. Dortmund,25.0
Marius Wörl,21,Central Midfield,Germany,8.0,Arm. Bielefeld,Hannover 96,5.0
Marius Wörl,21,Central Midfield,Germany,8.0,Hannover 96,Arm. Bielefeld,3.0
Jamie McGrath,28,Attacking Midfield,Ireland,1.2,Aberdeen FC,Hibernian FC,
Hans Nicolussi Caviglia,24,Central Midfield,Italy,8.0,Juventus,Venezia,3.5
Yu Hirakawa,24,Right Winger,Japan,9.0,Machida Zelvia,Bristol City,
Óscar de Marcos,36,Right-Back,Spain,1.5,Athletic,Retired,
Andrey Okladnikov,25,Centre-Forward,Russia,5.0,Chernomorets N.,Enisey,0.4
Kieran Tierney,27,Left-Back,Scotland,10.0,Arsenal,Celtic,
Kahraba,31,Centre-Forward,Egypt,6.0,Ahly SC,Al-Ittihad,0.72
Adrien Hunou,31,Centre-Forward,France,5.0,Angers SCO,Without Club,
Yasin Özcan,19,Centre-Back,Türkiye,6.0,Kasimpasa,Aston Villa,7.0
Chadrac Akolo,30,Right Winger,DR Congo,1.5,FC St. Gallen,Without Club,
Erick Marcus,21,Right Winger,Brazil,2.5,Vasco da Gama,Ludogorets,1.25
Loïs Diony,32,Centre-Forward,France,1.5,Angers SCO,Bandirmaspor,
Hamza Mathlouthi,32,Centre-Back,Tunisia,7.0,Zamalek,Without Club,
Maksim Kireev,20,Attacking Midfield,Belarus,7.0,Lierse SK,Willem II,8.0
Taylor Gardner-Hickman,23,Central Midfield,England,2.2,Bristol City,Birmingham,
Lloyd Kelly,26,Centre-Back,England,18.0,Newcastle,Juventus,17.2
Samuel Amo-Ameyaw,18,Right Winger,England,2.0,Southampton,R. Strasbourg,7.0
Lyall Cameron,22,Attacking Midfield,Scotland,1.5,Dundee FC,Rangers,
Jens Castrop,21,Central Midfield,Germany,6.0,1.FC Nuremberg,Bor. M'gladbach,4.5
Akram Tawfik,27,Central Midfield,Egypt,1.0,Ahly SC,Al-Shamal SC,
Kevin Danso,26,Centre-Back,Austria,25.0,Lens,Tottenham,25.0
Lilian Brassier,25,Centre-Back,France,10.0,Stade Brestois,Stade Rennais,12.0
Chrislain Matsima,22,Centre-Back,France,17.0,Monaco,FC Augsburg,5.0
Nikolai Hopland,20,Centre-Back,Norway,3.0,Aalesund,Heerenveen,5.0
Mahmoud Trezeguet,30,Left Winger,Egypt,7.5,Trabzonspor,Ahly SC,1.6
Kevin Diks,28,Centre-Back,Indonesia,4.5,FC Copenhagen,Bor. M'gladbach,
Ignace Van der Brempt,23,Right-Back,Belgium,4.0,RB Salzburg,Como,5.0
Tom Bischof,19,Central Midfield,Germany,25.0,TSG Hoffenheim,Bayern Munich,
Wendel,27,Central Midfield,Brazil,20.0,Zenit S-Pb,Botafogo,20.0
Phil Neumann,27,Centre-Back,Germany,3.0,Hannover 96,Birmingham,
Arthur Vermeeren,20,Defensive Midfield,Belgium,22.0,Atlético Madrid,RB Leipzig,20.0
Mohamed Amoura,24,Centre-Forward,Algeria,32.0,Union SG,VfL Wolfsburg,15.0
Thibault De Smet,26,Left-Back,Belgium,2.0,Stade Reims,Paris FC,
Rui Silva,31,Goalkeeper,Portugal,6.0,Real Betis,Sporting CP,4.7
Vojtech Stransky,22,Central Midfield,Czech Republic,6.0,Mlada Boleslav,Slovan Liberec,
Lukas Masek,20,Second Striker,Czech Republic,5.5,Mlada Boleslav,Slovan Liberec,
Anders Klynge,24,Central Midfield,Denmark,1.2,Silkeborg IF,Without Club,
Isa Sakamoto,21,Centre-Forward,Japan,1.3,Gamba Osaka,KVC Westerlo,
Mihajlo Banjac,25,Central Midfield,Serbia,2.0,Krasnodar,FK TSC,6.0
Manuel Pfeifer,25,Left-Back,Austria,1.0,TSV Hartberg,Without Club,
Fran Navarro,27,Centre-Forward,Spain,6.0,FC Porto,SC Braga,2.7
Gabriel Carvalho,17,Right Winger,Brazil,12.0,Internacional,Al-Qadsiah,15.6
Nikola Sekulov,23,Attacking Midfield,Italy,8.0,Juve Next Gen,Sampdoria,1.5
Kevin Lomónaco,23,Centre-Back,Argentina,6.0,RB Bragantino,Independiente,2.88
Tim Lemperle,23,Centre-Forward,Germany,5.0,1.FC Köln,Without Club,
Lars Kramer,25,Centre-Back,Netherlands,1.0,Aalborg BK,Without Club,
Toby Alderweireld,36,Centre-Back,Belgium,2.2,Royal Antwerp,Retired,
Andrés Guardado,38,Central Midfield,Mexico,6.0,León,Retired,
Karamoko Dembélé,22,Attacking Midfield,England,1.0,Stade Brestois,QPR,
Ludovic Ajorque,31,Centre-Forward,France,4.0,1.FSV Mainz 05,Stade Brestois,2.0
João Mário,32,Left Winger,Portugal,2.3,Benfica,Besiktas,2.0
Ismail Jakobs,25,Left-Back,Senegal,7.0,Monaco,Galatasaray,8.0
Stiven Shpendi,21,Centre-Forward,Albania,1.8,Cesena,FC Empoli,2.2
Sofyan Amrabat,28,Defensive Midfield,Morocco,20.0,Fiorentina,Fenerbahce,12.0
Felix Uduokhai,27,Centre-Back,Germany,8.0,FC Augsburg,Besiktas,5.0
Nico González,27,Right Winger,Argentina,28.0,Fiorentina,Juventus,28.1
Berat Özdemir,26,Defensive Midfield,Türkiye,4.5,Al-Ettifaq,Basaksehir,
Ali Sowe,30,Centre-Forward,The Gambia,1.9,Rostov,Without Club,
Michele Di Gregorio,27,Goalkeeper,Italy,18.0,Monza,Juventus,14.3
Estêvão,18,Right Winger,Brazil,55.0,Palmeiras,Chelsea,34.0
Luka Vuskovic,18,Centre-Back,Croatia,12.0,Hajduk Split,Tottenham,11.0
Kendry Páez,18,Attacking Midfield,Ecuador,12.0,Independiente,Chelsea,10.0
